attendance,date,division,f1_r1_clinch_a,f1_r1_clinch_l,f1_r1_distance_a,f1_r1_distance_l,f1_r1_ground_a,f1_r1_ground_l,f1_r1_kd,f1_r1_pass,f1_r1_rev,f1_r1_s_a,f1_r1_s_l,f1_r1_ss_a,f1_r1_ss_body_a,f1_r1_ss_body_l,f1_r1_ss_head_a,f1_r1_ss_head_l,f1_r1_ss_l,f1_r1_ss_leg_a,f1_r1_ss_leg_l,f1_r1_sub_a,f1_r1_td_a,f1_r1_td_l,f1_r2_clinch_a,f1_r2_clinch_l,f1_r2_distance_a,f1_r2_distance_l,f1_r2_ground_a,f1_r2_ground_l,f1_r2_kd,f1_r2_pass,f1_r2_rev,f1_r2_s_a,f1_r2_s_l,f1_r2_ss_a,f1_r2_ss_body_a,f1_r2_ss_body_l,f1_r2_ss_head_a,f1_r2_ss_head_l,f1_r2_ss_l,f1_r2_ss_leg_a,f1_r2_ss_leg_l,f1_r2_sub_a,f1_r2_td_a,f1_r2_td_l,f1_r3_clinch_a,f1_r3_clinch_l,f1_r3_distance_a,f1_r3_distance_l,f1_r3_ground_a,f1_r3_ground_l,f1_r3_kd,f1_r3_pass,f1_r3_rev,f1_r3_s_a,f1_r3_s_l,f1_r3_ss_a,f1_r3_ss_body_a,f1_r3_ss_body_l,f1_r3_ss_head_a,f1_r3_ss_head_l,f1_r3_ss_l,f1_r3_ss_leg_a,f1_r3_ss_leg_l,f1_r3_sub_a,f1_r3_td_a,f1_r3_td_l,f1_r4_clinch_a,f1_r4_clinch_l,f1_r4_distance_a,f1_r4_distance_l,f1_r4_ground_a,f1_r4_ground_l,f1_r4_kd,f1_r4_pass,f1_r4_rev,f1_r4_s_a,f1_r4_s_l,f1_r4_ss_a,f1_r4_ss_body_a,f1_r4_ss_body_l,f1_r4_ss_head_a,f1_r4_ss_head_l,f1_r4_ss_l,f1_r4_ss_leg_a,f1_r4_ss_leg_l,f1_r4_sub_a,f1_r4_td_a,f1_r4_td_l,f1_r5_clinch_a,f1_r5_clinch_l,f1_r5_distance_a,f1_r5_distance_l,f1_r5_ground_a,f1_r5_ground_l,f1_r5_kd,f1_r5_pass,f1_r5_rev,f1_r5_s_a,f1_r5_s_l,f1_r5_ss_a,f1_r5_ss_body_a,f1_r5_ss_body_l,f1_r5_ss_head_a,f1_r5_ss_head_l,f1_r5_ss_l,f1_r5_ss_leg_a,f1_r5_ss_leg_l,f1_r5_sub_a,f1_r5_td_a,f1_r5_td_l,f1_tot_clinch_a,f1_tot_clinch_l,f1_tot_distance_a,f1_tot_distance_l,f1_tot_ground_a,f1_tot_ground_l,f1_tot_kd,f1_tot_pass,f1_tot_rev,f1_tot_s_a,f1_tot_s_l,f1_tot_ss_a,f1_tot_ss_body_a,f1_tot_ss_body_l,f1_tot_ss_head_a,f1_tot_ss_head_l,f1_tot_ss_l,f1_tot_ss_leg_a,f1_tot_ss_leg_l,f1_tot_sub_a,f1_tot_td_a,f1_tot_td_l,f2_r1_clinch_a,f2_r1_clinch_l,f2_r1_distance_a,f2_r1_distance_l,f2_r1_ground_a,f2_r1_ground_l,f2_r1_kd,f2_r1_pass,f2_r1_rev,f2_r1_s_a,f2_r1_s_l,f2_r1_ss_a,f2_r1_ss_body_a,f2_r1_ss_body_l,f2_r1_ss_head_a,f2_r1_ss_head_l,f2_r1_ss_l,f2_r1_ss_leg_a,f2_r1_ss_leg_l,f2_r1_sub_a,f2_r1_td_a,f2_r1_td_l,f2_r2_clinch_a,f2_r2_clinch_l,f2_r2_distance_a,f2_r2_distance_l,f2_r2_ground_a,f2_r2_ground_l,f2_r2_kd,f2_r2_pass,f2_r2_rev,f2_r2_s_a,f2_r2_s_l,f2_r2_ss_a,f2_r2_ss_body_a,f2_r2_ss_body_l,f2_r2_ss_head_a,f2_r2_ss_head_l,f2_r2_ss_l,f2_r2_ss_leg_a,f2_r2_ss_leg_l,f2_r2_sub_a,f2_r2_td_a,f2_r2_td_l,f2_r3_clinch_a,f2_r3_clinch_l,f2_r3_distance_a,f2_r3_distance_l,f2_r3_ground_a,f2_r3_ground_l,f2_r3_kd,f2_r3_pass,f2_r3_rev,f2_r3_s_a,f2_r3_s_l,f2_r3_ss_a,f2_r3_ss_body_a,f2_r3_ss_body_l,f2_r3_ss_head_a,f2_r3_ss_head_l,f2_r3_ss_l,f2_r3_ss_leg_a,f2_r3_ss_leg_l,f2_r3_sub_a,f2_r3_td_a,f2_r3_td_l,f2_r4_clinch_a,f2_r4_clinch_l,f2_r4_distance_a,f2_r4_distance_l,f2_r4_ground_a,f2_r4_ground_l,f2_r4_kd,f2_r4_pass,f2_r4_rev,f2_r4_s_a,f2_r4_s_l,f2_r4_ss_a,f2_r4_ss_body_a,f2_r4_ss_body_l,f2_r4_ss_head_a,f2_r4_ss_head_l,f2_r4_ss_l,f2_r4_ss_leg_a,f2_r4_ss_leg_l,f2_r4_sub_a,f2_r4_td_a,f2_r4_td_l,f2_r5_clinch_a,f2_r5_clinch_l,f2_r5_distance_a,f2_r5_distance_l,f2_r5_ground_a,f2_r5_ground_l,f2_r5_kd,f2_r5_pass,f2_r5_rev,f2_r5_s_a,f2_r5_s_l,f2_r5_ss_a,f2_r5_ss_body_a,f2_r5_ss_body_l,f2_r5_ss_head_a,f2_r5_ss_head_l,f2_r5_ss_l,f2_r5_ss_leg_a,f2_r5_ss_leg_l,f2_r5_sub_a,f2_r5_td_a,f2_r5_td_l,f2_tot_clinch_a,f2_tot_clinch_l,f2_tot_distance_a,f2_tot_distance_l,f2_tot_ground_a,f2_tot_ground_l,f2_tot_kd,f2_tot_pass,f2_tot_rev,f2_tot_s_a,f2_tot_s_l,f2_tot_ss_a,f2_tot_ss_body_a,f2_tot_ss_body_l,f2_tot_ss_head_a,f2_tot_ss_head_l,f2_tot_ss_l,f2_tot_ss_leg_a,f2_tot_ss_leg_l,f2_tot_sub_a,f2_tot_td_a,f2_tot_td_l,fighter_1,fighter_1_detail_url,fighter_1_nn,fighter_2,fighter_2_detail_url,fighter_2_nn,location,referee,rounds,time,time_seconds,url,win_method,win_method_details,winner
13177,2016-04-10T00:00:00+00:00,Heavyweight Bout,4,4,24,17,6,6,1,1,0,34,27,34,9,9,22,15,27,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,24,17,6,6,1,1,0,34,27,34,9,9,22,15,27,3,3,0,0,0,1,1,38,12,0,0,0,0,0,39,13,39,4,3,35,10,13,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,38,12,0,0,0,0,0,39,13,39,4,3,35,10,13,0,0,0,3,0,Jared Cannonier,http://www.ufcstats.com/fighter-details/13a0275fa13c4d26,"""The Killa Gorilla""",Cyril Asker,http://www.ufcstats.com/fighter-details/9be6020024133293,"""Silverback""","Zagreb, Croatia",Grant Waterman,1,2:44,164,http://www.ufcstats.com/fight-details/a020b5b917c27bb8,KO/TKO,Punch to Head At Distance,Jared Cannonier
13177,2016-04-10T00:00:00+00:00,Featherweight Bout,3,2,29,15,0,0,0,0,0,49,33,32,7,6,21,8,17,4,3,0,1,0,4,2,33,13,0,0,0,1,0,61,33,37,6,4,26,7,15,5,4,0,2,1,0,0,30,13,0,0,0,0,0,48,24,30,7,4,17,5,13,6,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,92,41,0,0,0,1,0,158,90,99,20,14,64,20,45,15,11,0,4,1,0,0,29,6,0,0,0,0,0,30,7,29,3,0,25,6,6,1,0,0,0,0,2,1,31,14,0,0,0,0,0,33,15,33,5,4,26,10,15,2,1,0,0,0,1,0,24,9,0,0,0,0,0,25,9,25,2,0,18,4,9,5,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,84,29,0,0,0,0,0,88,31,87,10,4,69,20,30,8,6,0,0,0,Rob Whiteford,http://www.ufcstats.com/fighter-details/1dafccb62a0f98ec,"""The Hammer""",Lucas Martins,http://www.ufcstats.com/fighter-details/7413b80dbb0f8f9f,"""Mineiro""","Zagreb, Croatia",Leon Roberts,3,5:00,300,http://www.ufcstats.com/fight-details/42afd8c4fc85f485,Decision - Split,Andreas Gruner 27 - 30.Ben Cartlidge 29 - 28.Jadranko Cacic 28 - 29.,Lucas Martins
13177,2016-04-10T00:00:00+00:00,Bantamweight Bout,0,0,2,0,0,0,0,1,0,4,2,2,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,0,1,0,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,5,3,3,0,0,2,1,2,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,1,0,3,0,5,3,3,0,0,2,1,2,1,1,1,2,2,Filip Pejic,http://www.ufcstats.com/fighter-details/38ed5a2299230227,"""Nitro""",Damian Stasiak,http://www.ufcstats.com/fighter-details/42a7e90605df3c8a,"""Webster""","Zagreb, Croatia",Marc Goddard,1,2:16,136,http://www.ufcstats.com/fight-details/3b5e1d6cbf9c8c9f,Submission,Rear Naked Choke,Damian Stasiak
13177,2016-04-10T00:00:00+00:00,Lightweight Bout,0,0,59,25,0,0,1,0,0,59,25,59,5,1,48,18,25,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,59,25,0,0,1,0,0,59,25,59,5,1,48,18,25,6,6,0,0,0,1,0,42,11,0,0,0,0,0,43,11,43,2,1,40,9,11,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,42,11,0,0,0,0,0,43,11,43,2,1,40,9,11,1,1,0,0,0,Mairbek Taisumov,http://www.ufcstats.com/fighter-details/8f5c8850b2484173,"""Beckan""",Damir Hadzovic,http://www.ufcstats.com/fighter-details/38c626ca912c7bac,"""The Bosnian Bomber""","Zagreb, Croatia",,1,3:44,224,http://www.ufcstats.com/fight-details/79884c0df84662b9,KO/TKO,Punch to Head At Distance,Mairbek Taisumov
13177,2016-04-10T00:00:00+00:00,Bantamweight Bout,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,1,1,0,0,0,4,2,63,46,0,1,0,115,87,67,0,0,67,48,48,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,2,63,46,0,1,0,115,87,67,0,0,67,48,48,0,0,0,0,0,Ian Entwistle,http://www.ufcstats.com/fighter-details/d7adfcfdf7c6c1f8,"""Enty""",Alejandro Perez,http://www.ufcstats.com/fighter-details/80daefbed11ce998,"""Turbo""","Zagreb, Croatia",Grant Waterman,1,4:04,244,http://www.ufcstats.com/fight-details/d1d7400c131ed40e,KO/TKO,Punches to Head On GroundSubmission To Strikes,Alejandro Perez
13177,2016-04-10T00:00:00+00:00,Welterweight Bout,1,0,52,17,0,0,0,0,0,54,17,53,10,2,33,8,17,10,7,0,0,0,0,0,57,23,0,0,0,0,0,57,23,57,12,8,37,9,23,8,6,0,0,0,8,4,30,12,2,1,0,0,0,52,29,40,2,1,33,12,17,5,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,139,52,2,1,0,0,0,163,69,150,24,11,103,29,57,23,17,0,1,0,0,0,39,12,3,1,1,1,0,43,13,42,2,1,37,9,13,3,3,1,0,0,0,0,75,26,0,0,0,0,0,75,26,75,14,7,59,17,26,2,2,0,0,0,1,1,36,13,4,3,0,2,0,65,38,41,3,3,36,12,17,2,2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,150,51,7,4,1,3,0,183,77,158,19,11,132,38,56,7,7,1,3,1,Nicolas Dalby,http://www.ufcstats.com/fighter-details/9d19d9e4aa2662e8,"""Lokomotivo""",Zak Cummings,http://www.ufcstats.com/fighter-details/4ba8d454f762005d,,"Zagreb, Croatia",Marc Goddard,3,5:00,300,http://www.ufcstats.com/fight-details/5aa7ecc6507841bd,Decision - Unanimous,Paul Sutherland 27 - 30.Pawel Harasim 27 - 30.Ben Cartlidge 27 - 30.,Zak Cummings
13177,2016-04-10T00:00:00+00:00,Women's Strawweight Bout,0,0,12,5,11,11,0,2,0,39,30,23,9,9,14,7,16,0,0,0,1,1,0,0,32,8,3,2,0,1,0,43,15,35,9,5,25,5,10,1,0,0,1,0,0,0,27,9,0,0,0,0,0,28,10,27,3,2,23,6,9,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71,22,14,13,0,3,0,110,55,85,21,16,62,18,35,2,1,1,3,1,3,1,9,4,7,6,0,0,0,29,20,19,4,3,15,8,11,0,0,1,0,0,0,0,30,11,0,0,0,0,0,30,11,30,6,4,21,4,11,3,3,1,0,0,1,0,24,15,2,2,0,0,0,29,19,27,10,7,10,3,17,7,7,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,63,30,9,8,0,0,0,88,50,76,20,14,46,15,39,10,10,2,1,1,Maryna Moroz,http://www.ufcstats.com/fighter-details/b4192a975027aab6,"""Iron Lady""",Cristina Stanciu,http://www.ufcstats.com/fighter-details/175852708cb55776,"""Barbie""","Zagreb, Croatia",Kevin Sataki,3,5:00,300,http://www.ufcstats.com/fight-details/1a0bf11582ae518b,Decision - Unanimous,Howard Hughes 30 - 27.Andreas Gruner 30 - 27.Jadranko Cacic 30 - 27.,Maryna Moroz
13177,2016-04-10T00:00:00+00:00,Light Heavyweight Bout,1,0,9,3,7,6,0,3,1,30,22,17,1,1,16,8,9,0,0,0,0,0,15,11,28,10,1,1,0,0,0,50,28,44,2,1,42,21,22,0,0,0,1,0,1,0,9,2,2,2,0,0,0,20,11,12,0,0,12,4,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,46,15,10,9,0,3,1,100,61,73,3,2,70,33,35,0,0,0,1,0,1,1,9,2,14,9,0,3,0,40,26,24,7,7,17,5,12,0,0,0,1,1,36,25,28,17,14,11,0,0,0,89,64,78,19,13,59,40,53,0,0,0,2,2,3,3,11,4,37,26,0,1,0,81,58,51,9,8,42,25,33,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,29,48,23,65,46,0,4,0,210,148,153,35,28,118,70,98,0,0,0,4,4,Igor Pokrajac,http://www.ufcstats.com/fighter-details/53278852bcd91e11,"""The Duke""",Jan Blachowicz,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8,,"Zagreb, Croatia",Leon Roberts,3,5:00,300,http://www.ufcstats.com/fight-details/26779cfb01372664,Decision - Unanimous,Paul Sutherland 28 - 29.Mark Collett 28 - 29.Ben Cartlidge 28 - 29.,Jan Blachowicz
13177,2016-04-10T00:00:00+00:00,Heavyweight Bout,6,5,44,8,0,0,0,0,0,68,29,50,2,1,45,9,13,3,3,0,0,0,6,5,48,20,0,0,0,0,0,65,35,54,6,4,47,20,25,1,1,0,0,0,4,2,19,5,0,0,0,0,0,36,19,23,1,1,21,5,7,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,111,33,0,0,0,0,0,169,83,127,9,6,113,34,45,5,5,0,0,0,3,3,31,12,0,0,0,0,0,39,20,34,11,7,22,7,15,1,1,0,0,0,3,3,32,12,0,0,0,0,0,39,19,35,4,4,29,9,15,2,2,0,1,0,6,5,26,13,0,0,0,1,0,50,36,32,4,3,27,14,18,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,89,37,0,0,0,1,0,128,75,101,19,14,78,30,48,4,4,0,3,1,Tim Johnson,http://www.ufcstats.com/fighter-details/cc900af167fbedfd,,Marcin Tybura,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2,"""Tybur""","Zagreb, Croatia",Grant Waterman,3,5:00,300,http://www.ufcstats.com/fight-details/eb53ec8983cb2a95,Decision - Unanimous,Takeo Kobayashi 29 - 28.Howard Hughes 29 - 28.Andreas Gruner 29 - 28.,Tim Johnson
13177,2016-04-10T00:00:00+00:00,Heavyweight Bout,4,4,31,11,0,0,0,0,0,42,22,35,2,2,32,12,15,1,1,0,0,0,1,1,48,20,0,0,0,0,0,53,24,49,2,0,46,20,21,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,79,31,0,0,0,0,0,95,46,84,4,2,78,32,36,2,2,0,0,0,1,1,24,12,0,0,0,0,0,31,19,25,1,1,17,7,13,7,5,0,3,1,3,2,30,9,0,0,0,1,0,34,12,33,1,0,29,9,11,3,2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,54,21,0,0,0,1,0,65,31,58,2,1,46,16,24,10,7,0,6,2,Francis Ngannou,http://www.ufcstats.com/fighter-details/8d03ce87ca14e778,"""The Predator""",Curtis Blaydes,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,"""Razor""","Zagreb, Croatia",Kevin Sataki,2,5:00,300,http://www.ufcstats.com/fight-details/9b79c05aa978c066,TKO - Doctor's Stoppage,Eye Injury,Francis Ngannou
13177,2016-04-10T00:00:00+00:00,Heavyweight Bout,11,9,12,7,2,1,1,0,0,29,21,25,5,2,20,15,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,12,7,2,1,1,0,0,29,21,25,5,2,20,15,17,0,0,0,0,0,2,2,2,0,3,3,0,2,0,8,6,7,1,1,5,3,5,1,1,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0,3,3,0,2,0,8,6,7,1,1,5,3,5,1,1,0,6,1,Derrick Lewis,http://www.ufcstats.com/fighter-details/d3df1add9d9a7efb,"""The Black Beast""",Gabriel Gonzaga,http://www.ufcstats.com/fighter-details/270b89c00ef0c55c,"""Napao""","Zagreb, Croatia",Marc Goddard,1,4:48,288,http://www.ufcstats.com/fight-details/f4d9138ba502b7ec,KO/TKO,Punches to Head At Distance,Derrick Lewis
13177,2016-04-10T00:00:00+00:00,Heavyweight Bout,2,2,46,17,0,0,0,0,0,48,19,48,7,3,37,12,19,4,4,0,0,0,0,0,42,14,0,0,0,0,0,43,15,42,2,1,33,7,14,7,6,0,0,0,0,0,37,15,0,0,0,0,0,37,15,37,1,1,31,9,15,5,5,0,0,0,0,0,48,18,0,0,0,0,0,48,18,48,1,1,44,14,18,3,3,0,0,0,0,0,37,11,0,0,0,0,0,37,11,37,1,1,34,9,11,2,1,0,0,0,2,2,210,75,0,0,0,0,0,213,78,212,12,7,179,51,77,21,19,0,0,0,0,0,37,26,0,0,0,0,0,37,26,37,16,16,21,10,26,0,0,0,0,0,0,0,49,29,0,0,0,0,0,49,29,49,19,18,30,11,29,0,0,0,0,0,1,1,42,28,0,0,0,0,0,43,29,43,22,21,21,8,29,0,0,0,0,0,0,0,57,40,0,0,0,0,0,57,40,57,21,19,36,21,40,0,0,0,0,0,0,0,61,33,0,0,0,0,0,61,33,61,22,18,39,15,33,0,0,0,0,0,1,1,246,156,0,0,0,0,0,247,157,247,100,92,147,65,157,0,0,0,0,0,Ben Rothwell,http://www.ufcstats.com/fighter-details/bd58d34e39b7b12a,,Junior Dos Santos,http://www.ufcstats.com/fighter-details/63def5a5662a6917,"""Cigano""","Zagreb, Croatia",Leon Roberts,5,5:00,300,http://www.ufcstats.com/fight-details/5f6b8e48e7d3b66f,Decision - Unanimous,Howard Hughes 45 - 50.Mark Collett 45 - 50.Ben Cartlidge 45 - 50.,Junior Dos Santos
9552,2016-03-19T00:00:00+00:00,Lightweight Bout,0,0,45,13,0,0,0,0,0,45,13,45,4,3,34,3,13,7,7,0,0,0,0,0,58,21,0,0,0,0,0,58,21,58,8,2,39,10,21,11,9,0,0,0,0,0,52,18,0,0,0,0,0,53,18,52,10,5,35,8,18,7,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,155,52,0,0,0,0,0,156,52,155,22,10,108,21,52,25,21,0,1,0,0,0,55,18,0,0,0,0,0,55,18,55,2,2,51,14,18,2,2,0,0,0,0,0,81,29,0,0,0,0,0,81,29,81,7,5,71,21,29,3,3,0,0,0,2,0,76,31,0,0,0,0,0,78,31,78,5,2,72,28,31,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,212,78,0,0,0,0,0,214,78,214,14,9,194,63,78,6,6,0,0,0,Ross Pearson,http://www.ufcstats.com/fighter-details/4f732e58ed907eff,"""The Real Deal""",Chad Laprise,http://www.ufcstats.com/fighter-details/c03a5022f8439f2a,"""The Disciple""","Brisbane, Queensland, Australia",Steve Perceval,3,5:00,300,http://www.ufcstats.com/fight-details/f7c9f7a6edca5299,Decision - Split,Barry Foley 29 - 28.Kon Papaioannou 30 - 27.Albert Shen 28 - 30.,Ross Pearson
9552,2016-03-19T00:00:00+00:00,Welterweight Bout,0,0,47,10,0,0,0,0,0,61,24,47,5,1,39,7,10,3,2,0,2,0,4,3,41,12,11,7,1,0,0,70,32,56,7,2,46,18,22,3,2,0,0,0,0,0,24,11,3,3,0,0,0,40,26,27,3,1,23,12,14,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,112,33,14,10,1,0,0,171,82,130,15,4,108,37,46,7,5,0,3,1,0,0,36,16,4,3,0,0,0,62,33,40,3,1,35,16,19,2,2,0,1,1,4,1,26,10,2,1,0,1,0,34,13,32,4,3,27,8,12,1,1,1,3,1,0,0,14,5,2,2,0,2,0,43,32,16,1,1,15,6,7,0,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,76,31,8,6,0,3,0,139,78,88,8,5,77,30,38,3,3,1,8,5,Richard Walsh,http://www.ufcstats.com/fighter-details/303a05a7aa3ff761,"""Filthy Rich""",Viscardi Andrade,http://www.ufcstats.com/fighter-details/d221ee27afc7a60e,,"Brisbane, Queensland, Australia",Marc Goddard,3,5:00,300,http://www.ufcstats.com/fight-details/d2105d00baa3e15e,Decision - Unanimous,Paul Sutherland 28 - 29.Charlie Keech 28 - 29.Peter Hickmont 28 - 29.,Viscardi Andrade
9552,2016-03-19T00:00:00+00:00,Women's Bantamweight Bout,2,1,91,28,0,0,0,0,0,93,29,93,6,5,87,24,29,0,0,0,0,0,0,0,36,11,0,0,0,0,0,41,15,36,2,2,34,9,11,0,0,0,0,0,3,2,49,20,0,0,0,0,0,59,28,52,6,4,46,18,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,176,59,0,0,0,0,0,193,72,181,14,11,167,51,62,0,0,0,0,0,6,5,44,17,0,0,0,0,0,54,25,50,8,4,40,17,22,2,1,0,5,0,1,1,12,0,0,0,0,4,0,33,17,13,0,0,13,1,1,0,0,1,4,2,5,3,24,5,0,0,0,1,0,37,16,29,1,0,28,8,8,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,80,22,0,0,0,5,0,124,58,92,9,4,81,26,31,2,1,1,13,3,Leslie Smith,http://www.ufcstats.com/fighter-details/76984112f697631f,"""The Peacemaker""",Rin Nakai,http://www.ufcstats.com/fighter-details/f9ae6914f604aa9f,,"Brisbane, Queensland, Australia",John Sharp,3,5:00,300,http://www.ufcstats.com/fight-details/aa92030dfd8b5d40,Decision - Unanimous,Peter Hickmont 29 - 28.Evan Field 29 - 28.Albert Shen 30 - 27.,Leslie Smith
9552,2016-03-19T00:00:00+00:00,Featherweight Bout,1,1,8,4,0,0,0,1,0,10,6,9,2,2,5,2,5,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,4,0,0,0,1,0,10,6,9,2,2,5,2,5,2,1,1,0,0,0,0,8,4,0,0,0,0,0,12,7,8,3,2,4,1,4,1,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,4,0,0,0,0,0,12,7,8,3,2,4,1,4,1,1,0,2,0,Dan Hooker,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3,"""The Hangman""",Mark Eddiva,http://www.ufcstats.com/fighter-details/40ff198adda94b9f,,"Brisbane, Queensland, Australia",Greg Kleynjans,1,1:24,84,http://www.ufcstats.com/fight-details/e3fb9146a7eaaa47,Submission,Guillotine Choke From Mount,Dan Hooker
9552,2016-03-19T00:00:00+00:00,Welterweight Bout,7,5,9,3,1,0,0,2,0,21,12,17,4,4,12,3,8,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,9,3,1,0,0,2,0,21,12,17,4,4,12,3,8,1,1,0,1,1,19,16,15,11,6,5,1,0,0,45,37,40,9,9,30,22,32,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,15,11,6,5,1,0,0,45,37,40,9,9,30,22,32,1,1,0,0,0,Brendan O'Reilly,http://www.ufcstats.com/fighter-details/494b0bfdbac74502,"""Badger""",Alan Jouban,http://www.ufcstats.com/fighter-details/cf65d56b0755ed3b,"""Brahma""","Brisbane, Queensland, Australia",John Sharp,1,2:15,135,http://www.ufcstats.com/fight-details/ee31f081cf576273,KO/TKO,Elbow to Head In Clinch,Alan Jouban
